No,Age,Education,Industry,Experience ,Marital Status,Own House,Dependents,Income,Loan Affordability
2356,41,No schooling,Arts & Media,23,MARRIED,NO,3,63385.60627,NO
2375,26,No schooling,Construction ,8,MARRIED,YES,0,77385.60627,NO
2386,48,No schooling,Steel ,30,MARRIED,NO,0,88385.60627,NO
2431,34,No schooling,Arts & Media,16,SINGLE,NO,1,53385.60627,NO
2450,46,No schooling,Construction ,28,SINGLE,YES,0,85385.60627,YES
2461,48,No schooling,Steel ,30,SINGLE,NO,0,77385.60627,NO
2506,32,No schooling,Arts & Media,14,SINGLE,NO,3,71385.60627,NO
2525,27,No schooling,Construction ,9,MARRIED,YES,1,68385.60627,YES
2536,53,No schooling,Steel ,35,SINGLE,NO,2,68385.60627,NO
2581,53,No schooling,Arts & Media,35,SINGLE,YES,0,90385.60627,NO
2600,38,No schooling,Construction ,20,MARRIED,NO,3,77385.60627,NO
2611,34,No schooling,Steel ,16,SINGLE,YES,3,74385.60627,YES
2656,27,No schooling,Arts & Media,9,DIVORCED,YES,3,63385.60627,YES
2675,43,No schooling,Construction ,25,MARRIED,NO,1,85385.60627,NO
2686,34,No schooling,Steel ,16,SINGLE,NO,1,70385.60627,YES
2731,42,No schooling,Arts & Media,24,SINGLE,NO,2,83385.60627,YES
2750,47,No schooling,Construction ,29,DIVORCED,YES,1,78385.60627,NO
2761,25,No schooling,Steel ,7,MARRIED,YES,1,81385.60627,NO
2806,34,No schooling,Arts & Media,16,MARRIED,YES,1,72385.60627,NO
2825,54,No schooling,Construction ,36,MARRIED,YES,2,67385.60627,YES
2836,38,No schooling,Steel ,20,MARRIED,NO,2,71385.60627,NO
2881,33,No schooling,Arts & Media,15,SINGLE,NO,0,61385.60627,NO
2900,30,No schooling,Construction ,12,DIVORCED,YES,0,73385.60627,YES
2911,43,No schooling,Steel ,25,DIVORCED,YES,0,76385.60627,NO
2956,54,No schooling,Arts & Media,36,DIVORCED,YES,1,87385.60627,YES
2975,41,No schooling,Construction ,23,SINGLE,NO,2,84385.60627,NO
2986,54,No schooling,Steel ,36,MARRIED,NO,1,75385.60627,NO
3031,52,No schooling,Arts & Media,34,SINGLE,YES,0,81385.60627,YES
3050,26,No schooling,Construction ,8,SINGLE,NO,3,77385.60627,YES
3061,26,No schooling,Steel ,8,MARRIED,NO,0,69385.60627,YES
3106,41,No schooling,Arts & Media,23,MARRIED,NO,2,85385.60627,NO
3125,44,No schooling,Construction ,26,DIVORCED,NO,2,53385.60627,NO
3136,32,No schooling,Steel ,14,SINGLE,NO,0,73385.60627,NO
3181,46,No schooling,Arts & Media,28,DIVORCED,NO,0,66385.60627,YES
3200,49,No schooling,Construction ,31,MARRIED,NO,1,78385.60627,NO
3211,47,No schooling,Steel ,29,MARRIED,NO,1,68385.60627,NO
3256,42,No schooling,Arts & Media,24,SINGLE,NO,3,71385.60627,NO
3275,27,No schooling,Construction ,9,MARRIED,NO,3,73385.60627,NO
3286,36,No schooling,Steel ,18,SINGLE,NO,1,69385.60627,YES
3331,39,No schooling,Arts & Media,21,DIVORCED,NO,1,83385.60627,NO
3350,45,No schooling,Construction ,27,MARRIED,NO,2,67385.60627,YES
3361,40,No schooling,Steel ,22,SINGLE,YES,3,89385.60627,YES
3406,33,No schooling,Arts & Media,15,DIVORCED,YES,3,72385.60627,NO
3425,31,No schooling,Construction ,13,DIVORCED,NO,1,75385.60627,NO
3436,55,No schooling,Steel ,37,MARRIED,NO,1,85385.60627,NO
3481,43,No schooling,Arts & Media,25,SINGLE,NO,3,63385.60627,NO
3500,25,No schooling,Construction ,7,MARRIED,YES,3,89385.60627,NO
3511,41,No schooling,Steel ,23,MARRIED,NO,3,70385.60627,YES
3556,32,No schooling,Arts & Media,14,MARRIED,NO,0,80385.60627,YES
3575,31,No schooling,Construction ,13,MARRIED,YES,1,81385.60627,NO
3586,42,No schooling,Steel ,24,SINGLE,YES,1,70385.60627,NO
3631,42,No schooling,Arts & Media,24,MARRIED,NO,3,79385.60627,YES
3650,48,No schooling,Construction ,30,MARRIED,YES,3,88385.60627,NO
3661,38,No schooling,Steel ,20,MARRIED,NO,0,76385.60627,YES
3706,38,No schooling,Arts & Media,20,SINGLE,YES,2,79385.60627,NO
3725,28,No schooling,Construction ,10,SINGLE,YES,1,81385.60627,YES
3736,28,No schooling,Steel ,10,MARRIED,NO,1,73385.60627,NO
3781,30,No schooling,Arts & Media,12,SINGLE,NO,1,62385.60627,NO
3800,29,No schooling,Construction ,11,MARRIED,NO,1,61385.60627,NO
3811,35,No schooling,Steel ,17,SINGLE,YES,2,77385.60627,YES
3856,49,No schooling,Arts & Media,31,MARRIED,YES,2,85385.60627,YES
3875,28,No schooling,Construction ,10,MARRIED,YES,1,61385.60627,YES
3886,35,No schooling,Steel ,17,MARRIED,NO,0,57385.60627,YES
3931,48,No schooling,Arts & Media,30,SINGLE,NO,1,77385.60627,NO
3950,42,No schooling,Construction ,24,SINGLE,YES,3,77385.60627,NO
3961,40,No schooling,Steel ,22,SINGLE,NO,3,71385.60627,NO
4006,37,No schooling,Arts & Media,19,MARRIED,YES,1,75385.60627,YES
4025,37,No schooling,Construction ,19,MARRIED,NO,3,69385.60627,NO
4036,33,No schooling,Steel ,15,MARRIED,YES,3,69385.60627,NO
4081,38,No schooling,Arts & Media,20,MARRIED,YES,1,61385.60627,NO
4100,48,No schooling,Construction ,30,MARRIED,YES,1,65385.60627,NO
4111,46,No schooling,Steel ,28,SINGLE,YES,2,91385.60627,NO
4156,25,No schooling,Arts & Media,7,MARRIED,NO,2,75385.60627,NO
4175,33,No schooling,Construction ,15,SINGLE,YES,0,67385.60627,NO
4186,27,No schooling,Steel ,9,MARRIED,YES,3,80385.60627,NO
4231,51,No schooling,Arts & Media,33,SINGLE,NO,0,76385.60627,NO
4250,49,No schooling,Construction ,31,MARRIED,NO,3,64385.60627,NO
4261,31,No schooling,Steel ,13,MARRIED,YES,3,85385.60627,YES
4306,33,No schooling,Arts & Media,15,SINGLE,NO,2,76385.60627,NO
4325,39,No schooling,Construction ,21,SINGLE,NO,3,76385.60627,NO
4336,29,No schooling,Steel ,11,MARRIED,NO,1,76385.60627,NO
4381,36,No schooling,Arts & Media,18,MARRIED,NO,2,78385.60627,YES
4400,29,No schooling,Construction ,11,MARRIED,YES,3,65385.60627,NO
4411,35,No schooling,Steel ,17,MARRIED,YES,2,77385.60627,NO
4456,37,No schooling,Arts & Media,19,MARRIED,YES,3,57385.60627,YES
4475,53,No schooling,Construction ,35,MARRIED,YES,2,67385.60627,YES
4486,41,No schooling,Steel ,23,MARRIED,YES,3,86385.60627,YES
4531,38,No schooling,Arts & Media,20,MARRIED,NO,0,66385.60627,YES
4550,40,No schooling,Construction ,22,SINGLE,YES,0,59385.60627,NO
4561,54,No schooling,Steel ,36,SINGLE,NO,0,75385.60627,NO
4606,25,No schooling,Arts & Media,7,SINGLE,NO,2,58385.60627,YES
4625,39,No schooling,Construction ,21,MARRIED,NO,1,60385.60627,NO
4636,37,No schooling,Steel ,19,SINGLE,NO,1,62385.60627,NO
4681,36,No schooling,Arts & Media,18,SINGLE,NO,0,65385.60627,NO
4700,30,No schooling,Construction ,12,SINGLE,YES,2,91385.60627,YES
4711,30,No schooling,Steel ,12,SINGLE,YES,3,88385.60627,YES
4756,31,No schooling,Arts & Media,13,MARRIED,NO,1,59385.60627,NO
4775,36,No schooling,Construction ,18,MARRIED,NO,0,73385.60627,NO
4786,28,No schooling,Steel ,10,SINGLE,YES,2,85385.60627,YES
4831,28,No schooling,Arts & Media,10,MARRIED,NO,1,83385.60627,NO
4850,50,No schooling,Construction ,32,SINGLE,NO,2,87385.60627,NO
4861,52,No schooling,Steel ,34,SINGLE,NO,1,73385.60627,YES
4906,42,No schooling,Arts & Media,24,SINGLE,YES,2,91385.60627,YES
4925,44,No schooling,Construction ,26,MARRIED,NO,3,75385.60627,YES
4936,27,No schooling,Steel ,9,MARRIED,YES,1,73385.60627,NO
4981,27,No schooling,Arts & Media,9,MARRIED,NO,1,92385.60627,YES
5000,52,No schooling,Construction ,34,MARRIED,YES,3,59385.60627,YES
5011,55,No schooling,Steel ,37,SINGLE,NO,0,61385.60627,NO
5056,28,No schooling,Arts & Media,10,SINGLE,NO,3,87385.60627,YES
5075,44,No schooling,Construction ,26,MARRIED,YES,3,64385.60627,YES
5086,42,No schooling,Steel ,24,SINGLE,YES,1,70385.60627,NO
5131,27,No schooling,Arts & Media,9,SINGLE,YES,1,92385.60627,NO
5150,26,No schooling,Construction ,8,SINGLE,YES,3,69385.60627,NO
5161,47,No schooling,Steel ,29,MARRIED,NO,2,74385.60627,NO
5206,54,No schooling,Arts & Media,36,SINGLE,NO,0,65385.60627,NO
5225,54,No schooling,Construction ,36,MARRIED,YES,1,64385.60627,NO
5236,29,No schooling,Steel ,11,MARRIED,YES,1,70385.60627,NO
5281,55,No schooling,Arts & Media,37,MARRIED,NO,0,82385.60627,NO
5300,36,No schooling,Construction ,18,MARRIED,NO,3,71385.60627,YES
5311,44,No schooling,Steel ,26,MARRIED,NO,3,57385.60627,NO
5356,46,No schooling,Arts & Media,28,SINGLE,NO,0,56385.60627,NO
5375,54,No schooling,Construction ,36,SINGLE,YES,0,73385.60627,YES
5386,53,No schooling,Steel ,35,MARRIED,YES,3,70385.60627,NO
5431,50,No schooling,Arts & Media,32,MARRIED,NO,1,77385.60627,YES
5450,45,No schooling,Construction ,27,MARRIED,NO,2,72385.60627,NO
5461,45,No schooling,Steel ,27,SINGLE,NO,1,78385.60627,NO
5506,40,No schooling,Arts & Media,22,MARRIED,YES,0,68385.60627,NO
5525,36,No schooling,Construction ,18,MARRIED,NO,3,73385.60627,NO
5536,25,No schooling,Steel ,7,MARRIED,NO,3,74385.60627,YES
5581,52,No schooling,Arts & Media,34,MARRIED,YES,3,71385.60627,YES
5600,35,No schooling,Construction ,17,MARRIED,NO,3,79385.60627,YES
5611,53,No schooling,Steel ,35,MARRIED,NO,3,81385.60627,NO
5656,52,No schooling,Arts & Media,34,MARRIED,NO,0,70385.60627,YES
5675,53,No schooling,Construction ,35,MARRIED,YES,1,59385.60627,YES
5686,54,No schooling,Steel ,36,SINGLE,YES,1,59385.60627,YES
5731,31,No schooling,Arts & Media,13,MARRIED,YES,2,59385.60627,NO
5750,28,No schooling,Construction ,10,MARRIED,NO,2,62385.60627,NO
5761,33,No schooling,Steel ,15,SINGLE,YES,3,66385.60627,YES
5806,43,No schooling,Arts & Media,25,MARRIED,YES,2,67385.60627,NO
5825,48,No schooling,Construction ,30,MARRIED,NO,3,75385.60627,YES
5836,37,No schooling,Steel ,19,SINGLE,NO,0,65385.60627,NO
5881,42,No schooling,Arts & Media,24,SINGLE,NO,1,89385.60627,NO
5900,35,No schooling,Construction ,17,SINGLE,YES,2,76385.60627,YES
5911,41,No schooling,Steel ,23,SINGLE,YES,1,87385.60627,YES
5956,46,No schooling,Arts & Media,28,MARRIED,YES,0,85385.60627,NO
5975,33,No schooling,Construction ,15,MARRIED,NO,3,61385.60627,NO
5986,48,No schooling,Steel ,30,MARRIED,NO,2,74385.60627,NO
6031,41,No schooling,Arts & Media,23,MARRIED,YES,0,65385.60627,NO
6050,36,No schooling,Construction ,18,MARRIED,NO,1,58385.60627,NO
6061,55,No schooling,Steel ,37,SINGLE,YES,3,87385.60627,NO
6106,55,No schooling,Arts & Media,37,SINGLE,YES,0,73385.60627,YES
6125,32,No schooling,Construction ,14,MARRIED,YES,1,58385.60627,YES
6136,34,No schooling,Steel ,16,SINGLE,YES,3,85385.60627,NO
6181,46,No schooling,Arts & Media,28,MARRIED,NO,1,66385.60627,NO
6200,27,No schooling,Construction ,9,SINGLE,NO,0,59385.60627,NO
6211,27,No schooling,Steel ,9,SINGLE,YES,3,80385.60627,NO
6256,47,No schooling,Arts & Media,29,SINGLE,NO,0,77385.60627,NO
6275,25,No schooling,Construction ,7,MARRIED,YES,1,74385.60627,NO
6286,39,No schooling,Steel ,21,MARRIED,YES,0,73385.60627,NO
6331,49,No schooling,Arts & Media,31,MARRIED,YES,3,74385.60627,NO
6350,40,No schooling,Construction ,22,SINGLE,YES,1,65385.60627,NO
6361,25,No schooling,Steel ,7,MARRIED,YES,2,90385.60627,NO
6406,35,No schooling,Arts & Media,17,MARRIED,YES,0,60385.60627,YES
6425,43,No schooling,Construction ,25,MARRIED,YES,3,60385.60627,NO
6436,47,No schooling,Steel ,29,SINGLE,NO,2,79385.60627,YES
6481,34,No schooling,Arts & Media,16,MARRIED,NO,2,82385.60627,YES
6500,46,No schooling,Construction ,28,MARRIED,YES,1,87385.60627,NO
6511,38,No schooling,Steel ,20,SINGLE,NO,0,55385.60627,NO
6556,34,No schooling,Arts & Media,16,SINGLE,NO,0,75385.60627,YES
6575,41,No schooling,Construction ,23,MARRIED,YES,2,71385.60627,NO
6586,49,No schooling,Steel ,31,MARRIED,YES,2,68385.60627,YES
6631,55,No schooling,Arts & Media,37,SINGLE,YES,2,67385.60627,NO
6650,40,No schooling,Construction ,22,MARRIED,YES,1,73385.60627,YES
6661,40,No schooling,Steel ,22,MARRIED,NO,3,57385.60627,YES
6706,41,No schooling,Arts & Media,23,MARRIED,YES,2,84385.60627,NO
6725,47,No schooling,Construction ,29,MARRIED,NO,0,72385.60627,NO
6736,46,No schooling,Steel ,28,MARRIED,NO,0,67385.60627,NO
6781,53,No schooling,Arts & Media,35,SINGLE,NO,1,65385.60627,NO
6800,28,No schooling,Construction ,10,MARRIED,YES,3,77385.60627,NO
6811,51,No schooling,Steel ,33,MARRIED,NO,0,57385.60627,YES
6856,37,No schooling,Arts & Media,19,SINGLE,YES,0,81385.60627,NO
6875,29,No schooling,Construction ,11,MARRIED,NO,2,86385.60627,YES
6886,39,No schooling,Steel ,21,SINGLE,YES,0,78385.60627,YES
6931,28,No schooling,Arts & Media,10,MARRIED,YES,1,80385.60627,NO
6950,55,No schooling,Construction ,37,MARRIED,NO,0,59385.60627,NO
6961,53,No schooling,Steel ,35,MARRIED,NO,0,59385.60627,NO
7006,27,No schooling,Arts & Media,9,MARRIED,YES,2,82385.60627,NO
7025,33,No schooling,Construction ,15,MARRIED,NO,1,64385.60627,NO
7036,51,No schooling,Steel ,33,SINGLE,YES,1,83385.60627,NO
7081,40,No schooling,Arts & Media,22,MARRIED,YES,1,67385.60627,NO
7100,47,No schooling,Construction ,29,SINGLE,YES,0,79385.60627,YES
7111,53,No schooling,Steel ,35,MARRIED,NO,0,66385.60627,NO
7156,29,No schooling,Arts & Media,11,SINGLE,YES,0,63385.60627,YES
7175,50,No schooling,Construction ,32,MARRIED,YES,2,72385.60627,YES
7186,47,No schooling,Steel ,29,MARRIED,YES,0,63385.60627,YES
7231,35,No schooling,Arts & Media,17,MARRIED,YES,3,68385.60627,NO
7250,30,No schooling,Construction ,12,SINGLE,NO,2,85385.60627,YES
7261,42,No schooling,Steel ,24,SINGLE,YES,1,73385.60627,YES
7306,52,No schooling,Arts & Media,34,MARRIED,YES,3,65385.60627,YES
7325,44,No schooling,Construction ,26,MARRIED,YES,2,77385.60627,YES
7336,35,No schooling,Steel ,17,SINGLE,YES,1,63385.60627,YES
7381,50,No schooling,Arts & Media,32,MARRIED,YES,1,72385.60627,NO
7400,25,No schooling,Construction ,7,SINGLE,YES,0,78385.60627,NO
7411,40,No schooling,Steel ,22,MARRIED,NO,3,71385.60627,YES
7456,36,No schooling,Arts & Media,18,MARRIED,NO,0,69385.60627,YES
7475,55,No schooling,Construction ,37,MARRIED,YES,0,64385.60627,NO
7486,40,No schooling,Steel ,22,SINGLE,NO,1,88385.60627,NO
7531,32,No schooling,Arts & Media,14,MARRIED,YES,1,60385.60627,NO
7550,32,No schooling,Construction ,14,MARRIED,NO,0,78385.60627,YES
7561,50,No schooling,Steel ,32,SINGLE,YES,3,66385.60627,YES
7606,31,No schooling,Arts & Media,13,SINGLE,YES,2,57385.60627,NO
7625,33,No schooling,Construction ,15,SINGLE,YES,3,65385.60627,NO
7636,34,No schooling,Steel ,16,MARRIED,YES,3,82385.60627,NO
7681,46,No schooling,Arts & Media,28,MARRIED,YES,0,80385.60627,NO
7700,48,No schooling,Construction ,30,SINGLE,NO,1,86385.60627,NO
7711,43,No schooling,Steel ,25,MARRIED,NO,2,56385.60627,YES
7756,53,No schooling,Arts & Media,35,SINGLE,NO,2,75385.60627,NO
7775,40,No schooling,Construction ,22,MARRIED,NO,1,86385.60627,YES
7786,42,No schooling,Steel ,24,MARRIED,YES,1,82385.60627,NO
7831,42,No schooling,Arts & Media,24,MARRIED,NO,1,77385.60627,YES
7850,27,No schooling,Construction ,9,SINGLE,NO,3,66385.60627,NO
7861,27,No schooling,Steel ,9,MARRIED,NO,3,63385.60627,NO
7906,30,No schooling,Arts & Media,12,MARRIED,YES,2,89385.60627,NO
7925,44,No schooling,Construction ,26,MARRIED,NO,2,63385.60627,NO
7936,52,No schooling,Steel ,34,MARRIED,NO,1,73385.60627,YES
7981,44,No schooling,Arts & Media,26,SINGLE,YES,2,76385.60627,NO
8000,38,No schooling,Construction ,20,MARRIED,NO,1,74385.60627,NO
8011,44,No schooling,Steel ,26,MARRIED,NO,1,59385.60627,NO
8056,32,No schooling,Arts & Media,14,SINGLE,NO,2,83385.60627,NO
8075,44,No schooling,Construction ,26,SINGLE,NO,1,62385.60627,NO
8086,55,No schooling,Steel ,37,MARRIED,NO,3,56385.60627,NO
8131,49,No schooling,Arts & Media,31,MARRIED,NO,1,71385.60627,NO
8150,37,No schooling,Construction ,19,SINGLE,YES,1,76385.60627,NO
8161,44,No schooling,Steel ,26,MARRIED,YES,2,66385.60627,YES
8206,38,No schooling,Arts & Media,20,MARRIED,NO,3,64385.60627,NO
8225,48,No schooling,Construction ,30,SINGLE,YES,0,73385.60627,YES
8236,39,No schooling,Steel ,21,MARRIED,NO,2,79385.60627,NO
8281,26,No schooling,Arts & Media,8,MARRIED,YES,0,72385.60627,YES
8300,36,No schooling,Construction ,18,SINGLE,NO,3,80385.60627,NO
8311,26,No schooling,Steel ,8,SINGLE,NO,1,83385.60627,NO
8356,53,No schooling,Arts & Media,35,MARRIED,YES,1,59385.60627,YES
8375,54,No schooling,Construction ,36,MARRIED,YES,3,75385.60627,NO
8386,49,No schooling,Steel ,31,MARRIED,YES,2,89385.60627,YES
8431,45,No schooling,Arts & Media,27,MARRIED,NO,2,62385.60627,NO
8450,39,No schooling,Construction ,21,SINGLE,YES,1,60385.60627,NO
8461,40,No schooling,Steel ,22,MARRIED,YES,0,61385.60627,NO
8506,40,No schooling,Arts & Media,22,SINGLE,YES,3,83385.60627,YES
8525,30,No schooling,Construction ,12,MARRIED,NO,3,83385.60627,NO
8536,54,No schooling,Steel ,36,SINGLE,YES,2,76385.60627,NO
8581,42,No schooling,Arts & Media,24,MARRIED,NO,1,63385.60627,NO
8600,25,No schooling,Construction ,7,MARRIED,YES,1,59385.60627,NO
8611,45,No schooling,Steel ,27,MARRIED,NO,1,65385.60627,NO
8656,55,No schooling,Arts & Media,37,SINGLE,NO,0,80385.60627,NO
8675,51,No schooling,Construction ,33,SINGLE,NO,0,59385.60627,NO
8686,38,No schooling,Steel ,20,MARRIED,NO,2,78385.60627,NO
8731,39,No schooling,Arts & Media,21,MARRIED,YES,0,86385.60627,YES
8750,47,No schooling,Construction ,29,MARRIED,YES,0,82385.60627,NO
8761,41,No schooling,Steel ,23,MARRIED,NO,1,72385.60627,NO
8806,31,No schooling,Arts & Media,13,SINGLE,YES,2,78385.60627,NO
8825,42,No schooling,Construction ,24,MARRIED,NO,3,53385.60627,NO
8836,37,No schooling,Steel ,19,MARRIED,YES,3,65385.60627,NO
8881,36,No schooling,Arts & Media,18,MARRIED,NO,2,71385.60627,YES
8900,35,No schooling,Construction ,17,SINGLE,NO,2,64385.60627,NO
8911,42,No schooling,Steel ,24,MARRIED,NO,1,65385.60627,NO
8956,40,No schooling,Arts & Media,22,MARRIED,NO,2,78385.60627,YES
8975,44,No schooling,Construction ,26,MARRIED,YES,2,65385.60627,YES
8986,30,No schooling,Steel ,12,MARRIED,YES,0,84385.60627,YES
9031,27,No schooling,Arts & Media,9,SINGLE,YES,3,58385.60627,NO
9050,50,No schooling,Construction ,32,MARRIED,NO,2,61385.60627,NO
9061,45,No schooling,Steel ,27,MARRIED,YES,3,70385.60627,NO
9106,48,No schooling,Arts & Media,30,SINGLE,NO,0,83385.60627,NO
9125,34,No schooling,Construction ,16,MARRIED,NO,1,78385.60627,NO
9136,30,No schooling,Steel ,12,MARRIED,YES,3,67385.60627,YES
9181,34,No schooling,Arts & Media,16,MARRIED,NO,3,74385.60627,YES
9200,48,No schooling,Construction ,30,MARRIED,NO,0,65385.60627,NO
9211,54,No schooling,Steel ,36,SINGLE,YES,2,79385.60627,YES
